mission_id,scenario,seed,spawn_index,target_speed_ms,duration_s,attack,attack_start_s,attack_channels,attack_mode,naive_bias_lat_m,naive_bias_lon_m,naive_noise_std_m,naive_bias_lat_start_m,naive_bias_lon_start_m,naive_bias_lat_step_m,naive_bias_lon_step_m,naive_bias_psi_start_deg,naive_bias_psi_step_deg,naive_bias_v_start_mps,naive_bias_v_step_mps,attack_acc_delay_s,attack_v_replay_lag_s,attack_gyro_dos,attack_v_dos
M0016,S1,20260870782446,101,6.04,80.3,enable,21.5,lat lon,naive,8.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0017,S1,20260870782447,74,8.57,67.1,enable,18.3,lat lon,naive,7.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0018,S1,20260870782448,74,8.55,101.5,enable,14.1,lat lon,naive,8.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0019,S1,20260870782449,94,9.99,150.9,enable,15.7,lat lon,naive,7.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0020,S1,20260870782450,133,7.26,218.9,enable,29.9,lat lon,naive,6.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0021,S1,20260870782451,0,6.1,182.7,enable,37.6,lat lon,naive,7.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0022,S1,20260870782452,55,7.68,283.5,enable,61.7,lat lon,naive,7.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0023,S1,20260870782453,54,6.13,199.6,enable,25.1,lat lon,naive,8.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0024,S1,20260870782454,89,9.75,61.3,enable,16.7,lat lon,naive,7.0,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0025,S1,20260870782455,117,9.46,175.9,enable,17.0,lat lon,naive,8.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0026,S1,20260870782456,150,9.26,165.7,enable,17.8,lat lon,naive,6.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0027,S1,20260870782457,29,7.18,205.6,enable,58.7,lat lon,naive,6.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0028,S1,20260870782458,154,7.55,131.5,enable,14.7,lat lon,naive,6.0,5.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0029,S1,20260870782459,6,9.72,180.9,enable,49.4,lat lon,naive,7.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0030,S1,20260870782460,38,6.8,238.4,enable,44.4,lat lon,naive,5.0,9.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0031,S1,20260870782461,44,8.11,138.9,enable,24.4,lat lon,naive,8.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0032,S1,20260870782462,113,8.16,135.7,enable,38.1,lat lon,naive,7.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0033,S1,20260870782463,115,7.9,242.4,enable,69.3,lat lon,naive,5.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0034,S1,20260870782464,58,7.3,238.7,enable,23.4,lat lon,naive,9.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0035,S1,20260870782465,2,7.78,134.5,enable,16.1,lat lon,naive,7.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0036,S1,20260870782466,75,6.62,142.4,enable,37.7,lat lon,naive,8.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0037,S1,20260870782467,17,8.87,126.8,enable,18.3,lat lon,naive,7.0,9.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0038,S1,20260870782468,116,6.63,297.2,enable,47.5,lat lon,naive,5.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0039,S1,20260870782469,144,7.66,77.8,enable,16.8,lat lon,naive,6.0,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0040,S1,20260870782470,5,8.97,178.5,enable,34.6,lat lon,naive,8.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0041,S1,20260870782471,110,7.96,81.1,enable,10.9,lat lon,naive,7.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0042,S1,20260870782472,36,6.78,163.7,enable,16.6,lat lon,naive,7.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0043,S1,20260870782473,4,9.29,290.0,enable,42.7,lat lon,naive,8.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0044,S1,20260870782474,85,6.68,169.1,enable,12.6,lat lon,naive,6.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0045,S1,20260870782475,30,8.73,260.1,enable,29.5,lat lon,naive,9.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0046,S1,20260870782476,63,9.62,140.4,enable,39.0,lat lon,naive,5.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0047,S1,20260870782477,88,8.95,279.7,enable,60.8,lat lon,naive,8.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0048,S1,20260870782478,120,7.27,271.2,enable,61.4,lat lon,naive,6.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0049,S1,20260870782479,88,8.82,289.6,enable,80.5,lat lon,naive,5.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0050,S1,20260870782480,58,6.9,213.5,enable,57.9,lat lon,naive,7.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0051,S1,20260870782481,106,9.68,117.2,enable,17.5,lat lon,naive,6.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0052,S1,20260870782482,130,9.56,242.9,enable,48.1,lat lon,naive,6.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0053,S1,20260870782483,75,6.18,244.8,enable,45.6,lat lon,naive,7.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0054,S1,20260870782484,26,8.82,294.1,enable,48.1,lat lon,naive,5.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0055,S1,20260870782485,103,6.79,200.2,enable,30.9,lat lon,naive,6.0,9.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0056,S1,20260870782486,24,7.36,200.1,enable,28.2,lat lon,naive,8.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0057,S1,20260870782487,153,8.0,288.1,enable,67.6,lat lon,naive,5.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0058,S1,20260870782488,44,8.02,105.4,enable,9.4,lat lon,naive,6.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0059,S1,20260870782489,114,8.33,108.7,enable,26.3,lat lon,naive,7.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0060,S1,20260870782490,75,7.05,69.1,enable,15.1,lat lon,naive,6.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0061,S1,20260870782491,63,6.45,144.3,enable,33.3,lat lon,naive,5.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0062,S1,20260870782492,103,8.98,153.0,enable,20.6,lat lon,naive,8.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0063,S1,20260870782493,42,8.97,170.4,enable,43.4,lat lon,naive,5.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0064,S1,20260870782494,67,8.35,278.0,enable,32.4,lat lon,naive,6.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0065,S1,20260870782495,92,9.2,299.4,enable,53.3,lat lon,naive,5.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0066,S1,20260870782496,84,6.23,269.1,enable,14.2,lat lon,naive,7.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0067,S1,20260870782497,104,9.23,142.6,enable,9.3,lat lon,naive,9.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0068,S1,20260870782498,134,6.11,206.2,enable,55.1,lat lon,naive,6.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0069,S1,20260870782499,36,9.98,252.1,enable,17.5,lat lon,naive,6.0,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0070,S1,20260870782500,63,8.78,262.7,enable,24.6,lat lon,naive,5.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0071,S1,20260870782501,115,8.14,279.2,enable,44.0,lat lon,naive,7.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0072,S1,20260870782502,93,8.64,271.1,enable,16.5,lat lon,naive,6.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0073,S1,20260870782503,144,8.04,88.3,enable,16.8,lat lon,naive,7.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0074,S1,20260870782504,125,6.7,168.1,enable,13.9,lat lon,naive,8.0,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0075,S1,20260870782505,88,9.55,205.4,enable,55.4,lat lon,naive,7.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0076,S1,20260870782506,61,7.47,171.7,enable,31.4,lat lon,naive,5.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0077,S1,20260870782507,103,6.42,61.3,enable,18.0,lat lon,naive,8.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0078,S1,20260870782508,82,6.62,267.5,enable,38.7,lat lon,naive,5.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0079,S1,20260870782509,14,9.48,233.9,enable,57.8,lat lon,naive,5.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0080,S1,20260870782510,29,9.37,296.4,enable,41.4,lat lon,naive,8.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0081,S1,20260870782511,136,7.72,257.3,enable,17.6,lat lon,naive,7.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0082,S1,20260870782512,11,9.34,202.4,enable,19.3,lat lon,naive,7.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0083,S1,20260870782513,98,6.64,222.3,enable,24.5,lat lon,naive,7.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0084,S1,20260870782514,151,8.08,215.3,enable,20.4,lat lon,naive,9.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0085,S1,20260870782515,111,9.7,161.8,enable,9.3,lat lon,naive,9.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0086,S1,20260870782516,76,9.44,83.8,enable,15.8,lat lon,naive,8.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0087,S1,20260870782517,4,7.98,124.4,enable,15.5,lat lon,naive,6.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0088,S1,20260870782518,69,7.85,229.4,enable,50.3,lat lon,naive,9.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0089,S1,20260870782519,87,7.63,164.5,enable,40.8,lat lon,naive,6.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0090,S1,20260870782520,139,8.79,108.8,enable,20.5,lat lon,naive,6.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0091,S1,20260870782521,60,8.47,131.9,enable,37.0,lat lon,naive,8.0,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0092,S1,20260870782522,76,8.34,267.6,enable,56.3,lat lon,naive,8.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0093,S1,20260870782523,21,8.51,295.0,enable,57.4,lat lon,naive,6.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0094,S1,20260870782524,53,7.29,168.3,enable,24.3,lat lon,naive,8.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0095,S1,20260870782525,53,7.09,246.0,enable,70.1,lat lon,naive,9.0,5.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0096,S1,20260870782526,83,8.62,105.1,enable,30.0,lat lon,naive,5.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0097,S1,20260870782527,72,8.56,206.8,enable,39.6,lat lon,naive,6.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0098,S1,20260870782528,99,6.94,272.4,enable,41.9,lat lon,naive,5.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0099,S1,20260870782529,2,6.68,257.1,enable,39.3,lat lon,naive,5.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0100,S1,20260870782530,17,9.52,266.7,enable,51.0,lat lon,naive,7.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0101,S1,20260870782531,127,6.41,199.9,enable,31.1,lat lon,naive,6.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0102,S1,20260870782532,117,9.46,166.2,enable,22.9,lat lon,naive,6.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0103,S1,20260870782533,74,9.72,238.1,enable,36.8,lat lon,naive,8.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0104,S1,20260870782534,138,6.23,292.9,enable,42.6,lat lon,naive,7.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0105,S1,20260870782535,22,8.92,116.7,enable,10.8,lat lon,naive,6.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0106,S1,20260870782536,115,6.72,162.7,enable,16.3,lat lon,naive,6.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0107,S1,20260870782537,64,6.47,270.5,enable,29.2,lat lon,naive,7.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0108,S1,20260870782538,49,7.33,276.7,enable,25.6,lat lon,naive,5.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0109,S1,20260870782539,75,6.59,272.6,enable,21.2,lat lon,naive,6.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0110,S1,20260870782540,52,7.64,299.9,enable,81.2,lat lon,naive,7.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0111,S1,20260870782541,150,8.04,263.1,enable,73.9,lat lon,naive,5.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0112,S1,20260870782542,74,7.16,249.0,enable,22.5,lat lon,naive,5.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0113,S1,20260870782543,31,6.85,206.2,enable,59.9,lat lon,naive,7.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0114,S1,20260870782544,116,9.4,102.2,enable,6.3,lat lon,naive,9.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0115,S1,20260870782545,107,7.56,61.1,enable,8.9,lat lon,naive,6.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0116,S1,20260870782546,115,6.13,132.0,enable,34.7,lat lon,naive,6.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0117,S1,20260870782547,82,6.6,107.9,enable,19.0,lat lon,naive,6.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0118,S1,20260870782548,109,7.03,188.1,enable,53.4,lat lon,naive,7.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0119,S1,20260870782549,109,7.97,181.4,enable,40.4,lat lon,naive,7.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0120,S1,20260870782550,23,8.68,253.3,enable,72.3,lat lon,naive,6.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0121,S1,20260870782551,106,8.75,252.5,enable,46.6,lat lon,naive,8.0,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0122,S1,20260870782552,48,8.93,66.2,enable,13.4,lat lon,naive,8.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0123,S1,20260870782553,115,7.89,178.6,enable,19.9,lat lon,naive,5.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0124,S1,20260870782554,110,8.6,219.9,enable,14.4,lat lon,naive,7.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0125,S1,20260870782555,39,8.83,111.3,enable,7.8,lat lon,naive,8.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0126,S1,20260870782556,128,8.58,263.3,enable,36.6,lat lon,naive,5.0,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0127,S1,20260870782557,27,6.95,80.8,enable,15.1,lat lon,naive,8.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0128,S1,20260870782558,121,9.3,238.9,enable,29.2,lat lon,naive,7.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0129,S1,20260870782559,22,9.0,112.6,enable,24.9,lat lon,naive,7.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0130,S1,20260870782560,41,6.26,183.9,enable,37.7,lat lon,naive,5.0,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0131,S1,20260870782561,60,9.61,280.1,enable,24.7,lat lon,naive,5.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0132,S1,20260870782562,90,6.34,154.4,enable,23.3,lat lon,naive,7.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0133,S1,20260870782563,45,9.08,100.8,enable,18.6,lat lon,naive,7.0,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0134,S1,20260870782564,115,8.08,287.8,enable,20.3,lat lon,naive,7.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0135,S1,20260870782565,15,6.62,172.1,enable,27.9,lat lon,naive,6.5,6.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0136,S1,20260870782566,29,9.06,163.8,enable,46.3,lat lon,naive,8.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0137,S1,20260870782567,33,8.57,119.3,enable,28.4,lat lon,naive,7.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0138,S1,20260870782568,45,9.48,165.1,enable,16.3,lat lon,naive,8.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0139,S1,20260870782569,31,7.42,221.8,enable,47.7,lat lon,naive,8.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0140,S1,20260870782570,75,8.43,208.3,enable,20.9,lat lon,naive,6.0,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0141,S1,20260870782571,105,9.45,291.2,enable,37.4,lat lon,naive,5.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0142,S1,20260870782572,41,8.25,89.7,enable,11.7,lat lon,naive,6.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0143,S1,20260870782573,59,8.66,267.3,enable,76.4,lat lon,naive,7.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0144,S1,20260870782574,79,6.28,198.3,enable,34.8,lat lon,naive,6.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0145,S1,20260870782575,100,6.65,149.6,enable,31.7,lat lon,naive,6.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0146,S1,20260870782576,85,7.95,161.8,enable,29.9,lat lon,naive,8.0,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0147,S1,20260870782577,57,6.35,159.7,enable,16.4,lat lon,naive,5.5,5.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0148,S1,20260870782578,85,7.54,240.5,enable,64.0,lat lon,naive,6.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0149,S1,20260870782579,30,9.14,172.6,enable,16.2,lat lon,naive,7.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
